时间,实际交易动作,60m交易,是否持仓,大盘状态,代码,名称,现价,日线风控,客观缠论信号,60m笔方向,15分信号,区间价格对齐,决策理由,日线A中枢ZD,日线C中枢ZD,锁定ZG,15m_DIF,15m_DEA,底分型成立
2026-05-11 14:51:53,观望,观望,否,安全,510300,沪深300ETF,4.96,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,4.68,4.75,4.91,0.0189,0.0166,否
2026-05-11 14:51:53,观望,观望,否,安全,588000,科创50ETF,1.80,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,1.55,1.55,1.77,0.0174,0.0166,否
2026-05-11 14:51:53,观望,卖出,否,安全,512400,有色金属ETF,2.20,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,2.10,2.17,2.23,0.0018,0.0032,否
2026-05-11 14:51:53,观望,观望,否,安全,512690,酒ETF,0.48,日线破位,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,0.48,0.48,0.48,-0.0004,-0.0005,否
2026-05-11 14:51:53,观望,观望,否,安全,159227,航空航天ETF,1.39,日线破位,二买,向上,顶背驰,是,4条件未全部满足（买点但笔方向向上；15分顶背驰非底背驰），继续观望,1.43,1.41,1.37,0.0093,0.0114,否
2026-05-11 14:51:53,观望,观望,否,安全,159992,创新药ETF,0.84,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,0.81,0.83,0.84,0.0040,0.0014,否
2026-05-11 14:51:53,观望,观望,否,安全,515050,通信ETF,3.29,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,2.30,2.33,3.09,0.0392,0.0388,否
2026-05-11 14:51:53,观望,观望,否,安全,159915,创业板ETF,3.93,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,3.25,3.27,3.82,0.0316,0.0278,否
2026-05-11 14:51:53,观望,观望,否,安全,588200,科创芯片ETF,3.42,安全,一卖+二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,2.41,2.65,3.34,0.0410,0.0397,否
2026-05-11 14:51:53,观望,观望,否,安全,159755,电池ETF,1.23,安全,一卖+二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,1.03,1.17,1.26,-0.0028,-0.0037,否
2026-05-11 14:51:53,观望,观望,否,安全,159899,软件ETF,0.89,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,0.87,0.89,0.87,0.0022,0.0026,否
2026-05-11 14:51:53,观望,买入,否,安全,601668,中国建筑,4.99,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,4.88,4.91,4.99,0.0208,0.0176,否
2026-05-11 14:51:53,观望,卖出,否,安全,601288,农业银行,6.81,安全,二卖+一买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,6.73,6.85,6.95,-0.0188,-0.0219,否
2026-05-11 14:51:53,观望,买入,否,安全,601728,中国电信,6.14,安全,二买,向下,顶背驰,否,4条件未全部满足（15分顶背驰非底背驰；区间价格对齐否），继续观望,5.75,5.76,6.00,0.0346,0.0300,否
2026-05-11 14:51:53,观望,观望,否,安全,600276,恒瑞医药,53.38,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,52.67,52.41,53.92,0.1029,0.0050,否
2026-05-11 14:51:53,观望,卖出,否,安全,600177,雅戈尔,7.82,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,7.66,7.25,7.82,0.0143,0.0066,否
2026-05-11 14:51:53,观望,观望,否,安全,600887,伊利股份,28.05,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,27.22,27.36,27.83,0.1398,0.1221,否
2026-05-11 14:51:53,观望,观望,否,安全,601138,工业富联,65.47,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,58.00,61.86,66.91,0.5465,0.4251,否
2026-05-11 14:51:53,观望,卖出,否,安全,688041,海光信息,347.51,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,246.00,271.06,343.17,4.6749,3.6321,否
2026-05-11 14:51:53,观望,卖出,否,安全,688981,中芯国际,122.37,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,100.13,115.74,124.57,0.0683,0.0739,否
2026-05-11 14:51:53,观望,卖出,否,安全,601225,陕西煤业,23.81,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,22.32,22.30,26.00,-0.0847,-0.0987,否
2026-05-11 14:51:53,观望,观望,否,安全,601998,中信银行,8.26,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,7.98,8.16,8.31,-0.0020,-0.0097,否
2026-05-11 14:51:53,观望,观望,否,安全,600900,长江电力,26.98,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,26.66,26.60,27.01,-0.0124,-0.0071,否
2026-05-11 14:51:53,观望,卖出,否,安全,002507,涪陵榨菜,12.38,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,12.32,12.28,12.41,-0.0247,-0.0211,否
2026-05-11 14:51:53,观望,卖出,否,安全,000338,潍柴动力,33.60,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,25.92,23.75,33.85,-0.0335,-0.0765,否
2026-05-11 14:51:53,观望,卖出,否,安全,000538,云南白药,52.61,日线破位,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,55.40,54.40,52.75,0.0038,-0.0069,否
2026-05-11 14:51:53,观望,观望,否,安全,000858,五粮液,91.75,日线破位,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,101.59,101.08,98.40,-0.1917,-0.2455,否
2026-05-11 14:51:53,观望,卖出,否,安全,000423,东阿阿胶,53.89,安全,二卖+二买,向上,顶背驰,否,4条件未全部满足（买点但笔方向向上；15分顶背驰非底背驰；区间价格对齐否），继续观望,53.51,52.11,54.45,0.0624,0.0665,否
2026-05-11 14:51:53,观望,观望,否,安全,000333,美的集团,80.65,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,79.17,78.91,80.89,0.0469,0.1072,否
2026-05-11 14:51:53,观望,观望,否,安全,000001,平安银行,11.27,安全,无信号,向下,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,11.30,11.03,11.39,-0.0156,-0.0228,否
2026-05-11 14:51:53,观望,观望,否,安全,000651,格力电器,40.42,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,40.00,40.10,40.19,0.1281,0.1356,否
2026-05-11 14:51:53,观望,观望,否,安全,000895,双汇发展,27.09,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,26.66,26.51,27.87,0.0328,-0.0249,否
2026-05-11 14:51:53,观望,观望,否,安全,hk03690,美团,84.55,安全,一卖+二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,83.75,82.15,84.55,0.0856,-0.0426,否
2026-05-11 14:51:53,观望,观望,否,安全,hk03896,金山云,8.45,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,7.86,7.80,8.39,0.0396,0.0628,否
2026-05-11 14:51:53,观望,卖出,否,安全,hk00700,腾讯,464.80,日线破位,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,494.60,486.20,473.40,-0.7820,-0.5616,否
2026-05-11 14:51:53,观望,观望,否,安全,hk09988,阿里巴巴,133.80,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,142.40,126.70,134.20,-1.2556,-1.1352,否
2026-05-11 14:51:53,观望,买入,否,安全,hk01024,快手,51.75,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,48.90,51.00,48.80,0.5096,0.5934,否
2026-05-11 14:51:53,观望,卖出,否,安全,hk06618,京东健康,46.18,安全,二卖+二买,向上,顶背驰,否,4条件未全部满足（买点但笔方向向上；15分顶背驰非底背驰；区间价格对齐否），继续观望,46.16,46.10,46.58,0.2150,0.1184,否
2026-05-11 14:51:53,观望,买入,否,安全,hk06862,海底捞,15.16,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,14.22,14.16,15.21,0.1000,0.0837,否
2026-05-11 15:12:43,观望,观望,是,安全,603317,天味食品,15.84,安全,无信号,向下,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,12.56,12.98,17.28,-0.1321,-0.1896,否
2026-05-11 15:12:43,观望,观望,是,安全,600660,福耀玻璃,59.40,安全,无信号,向上,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,60.10,56.86,59.60,-0.0790,-0.0391,否
2026-05-11 15:12:43,观望,观望,是,安全,600938,中国海油,36.25,安全,一卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,34.06,35.29,37.85,-0.0956,-0.1239,否
2026-05-11 15:12:43,观望,买入,是,安全,600895,张江高科,38.45,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,36.90,36.21,38.72,0.1774,0.2050,否
2026-05-11 15:12:43,观望,买入,是,安全,000429,粤高速A,12.90,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,12.70,12.58,12.91,0.0772,0.0564,否
2026-05-11 15:12:43,观望,买入,是,安全,hk01810,小米集团,31.76,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,32.78,30.26,32.44,0.0802,0.0821,否
2026-05-11 15:12:43,观望,买入,是,安全,513130,恒生科技ETF,0.64,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,0.61,0.61,0.64,0.0011,0.0008,否
2026-05-11 15:12:43,观望,观望,是,安全,515790,光伏ETF,1.12,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,1.03,1.08,1.15,0.0062,0.0071,否
2026-05-11 15:12:43,观望,观望,否,安全,sh000001,上证指数,4225.02,安全,二买,向上,顶背驰,否,4条件未全部满足（买点但笔方向向上；15分顶背驰非底背驰；区间价格对齐否），继续观望,4101.83,4079.77,4180.21,12.5126,11.9918,否
2026-05-11 15:12:43,观望,观望,否,安全,510300,沪深300ETF,4.96,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,4.68,4.75,4.91,0.0187,0.0171,否
2026-05-11 15:12:43,观望,观望,否,安全,588000,科创50ETF,1.81,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,1.55,1.55,1.77,0.0172,0.0167,否
2026-05-11 15:12:43,观望,卖出,否,安全,512400,有色金属ETF,2.21,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,2.10,2.17,2.23,0.0022,0.0030,否
2026-05-11 15:12:43,观望,观望,否,安全,512690,酒ETF,0.48,日线破位,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,0.48,0.48,0.48,-0.0003,-0.0005,否
2026-05-11 15:12:43,观望,观望,否,安全,159227,航空航天ETF,1.39,日线破位,二买,向上,顶背驰,是,4条件未全部满足（买点但笔方向向上；15分顶背驰非底背驰），继续观望,1.43,1.41,1.37,0.0089,0.0109,否
2026-05-11 15:12:43,观望,观望,否,安全,159992,创新药ETF,0.85,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,0.81,0.83,0.85,0.0044,0.0020,否
2026-05-11 15:12:43,观望,观望,否,安全,515050,通信ETF,3.30,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,2.30,2.33,3.09,0.0384,0.0387,否
2026-05-11 15:12:43,观望,观望,否,安全,159915,创业板ETF,3.95,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,3.25,3.27,3.82,0.0318,0.0286,否
2026-05-11 15:12:43,观望,观望,否,安全,588200,科创芯片ETF,3.43,安全,一卖+二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,2.41,2.65,3.34,0.0399,0.0397,否
2026-05-11 15:12:43,观望,观望,否,安全,159755,电池ETF,1.23,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,1.03,1.17,1.26,-0.0022,-0.0034,否
2026-05-11 15:12:43,观望,观望,否,安全,159899,软件ETF,0.89,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,0.87,0.89,0.89,0.0021,0.0025,否
2026-05-11 15:12:43,观望,观望,否,安全,513360,教育ETF,0.50,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,0.49,0.50,0.50,-0.0007,-0.0007,否
2026-05-11 15:12:43,观望,买入,否,安全,601668,中国建筑,5.00,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,4.88,4.91,5.00,0.0212,0.0183,否
2026-05-11 15:12:43,观望,观望,否,安全,601288,农业银行,6.81,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,6.73,6.85,6.95,-0.0169,-0.0209,否
2026-05-11 15:12:43,观望,买入,否,安全,601728,中国电信,6.14,安全,二买,向下,顶背驰,否,4条件未全部满足（15分顶背驰非底背驰；区间价格对齐否），继续观望,5.75,5.76,6.14,0.0344,0.0309,否
2026-05-11 15:12:43,观望,观望,否,安全,600276,恒瑞医药,53.52,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,52.67,52.41,53.92,0.1159,0.0272,否
2026-05-11 15:12:43,观望,卖出,否,安全,600177,雅戈尔,7.79,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,7.66,7.25,7.82,0.0108,0.0075,否
2026-05-11 15:12:43,观望,观望,否,安全,600887,伊利股份,28.06,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,27.22,27.36,27.83,0.1341,0.1245,否
2026-05-11 15:12:43,观望,观望,否,安全,601138,工业富联,65.85,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,58.00,61.86,66.91,0.5653,0.4531,否
2026-05-11 15:12:43,观望,卖出,否,安全,688041,海光信息,349.18,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,246.00,271.06,343.17,4.7617,3.8580,否
2026-05-11 15:12:43,观望,卖出,否,安全,688981,中芯国际,122.52,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,100.13,115.74,124.57,0.0628,0.0717,否
2026-05-11 15:12:43,观望,观望,否,安全,601225,陕西煤业,23.83,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,22.32,22.30,24.57,-0.0813,-0.0952,否
2026-05-11 15:12:43,观望,观望,否,安全,601998,中信银行,8.26,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,7.98,8.16,8.31,-0.0007,-0.0079,否
2026-05-11 15:12:43,观望,观望,否,安全,600900,长江电力,27.01,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,26.66,26.60,27.01,-0.0116,-0.0080,否
2026-05-11 15:12:43,观望,卖出,否,安全,002507,涪陵榨菜,12.40,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,12.32,12.28,12.41,-0.0233,-0.0216,否
2026-05-11 15:12:43,观望,卖出,否,安全,000338,潍柴动力,33.53,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,25.92,23.75,33.85,-0.0240,-0.0660,否
2026-05-11 15:12:43,观望,卖出,否,安全,000538,云南白药,52.62,日线破位,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,55.40,54.40,52.75,0.0028,-0.0050,否
2026-05-11 15:12:43,观望,观望,否,安全,000858,五粮液,91.81,日线破位,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,101.59,101.08,98.40,-0.1729,-0.2310,否
2026-05-11 15:12:43,观望,观望,否,安全,000423,东阿阿胶,53.88,安全,二卖+二买,向下,顶背驰,否,4条件未全部满足（卖点但笔方向向下；15分顶背驰非底背驰；区间价格对齐否），继续观望,53.51,52.11,54.45,0.0561,0.0644,否
2026-05-11 15:12:43,观望,观望,否,安全,000333,美的集团,80.67,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,79.17,78.91,80.89,0.0279,0.0913,否
2026-05-11 15:12:43,观望,观望,否,安全,000001,平安银行,11.28,安全,无信号,向下,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,11.30,11.03,11.39,-0.0131,-0.0209,否
2026-05-11 15:12:43,观望,观望,否,安全,000651,格力电器,40.46,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,40.00,40.10,40.19,0.1195,0.1323,否
2026-05-11 15:12:43,观望,观望,否,安全,000895,双汇发展,27.15,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,26.66,26.51,27.72,0.0375,-0.0124,否
2026-05-11 15:12:43,观望,卖出,否,安全,002415,海康威视,35.36,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,31.96,33.30,36.35,-0.1048,-0.0128,否
2026-05-11 15:12:43,观望,观望,否,安全,hk03690,美团,84.55,安全,一卖+二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,83.75,82.15,84.55,0.0856,-0.0426,否
2026-05-11 15:12:43,观望,观望,否,安全,hk03896,金山云,8.45,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,7.86,7.80,8.39,0.0396,0.0628,否
2026-05-11 15:12:43,观望,卖出,否,安全,hk00700,腾讯,464.80,日线破位,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,494.60,486.20,473.40,-0.7820,-0.5616,否
2026-05-11 15:12:43,观望,观望,否,安全,hk09988,阿里巴巴,133.80,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,142.40,126.70,134.20,-1.2556,-1.1352,否
2026-05-11 15:12:43,观望,买入,否,安全,hk01024,快手,51.75,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,48.90,51.00,48.80,0.5096,0.5934,否
2026-05-11 15:12:43,观望,卖出,否,安全,hk06618,京东健康,46.18,安全,二卖+二买,向上,顶背驰,否,4条件未全部满足（买点但笔方向向上；15分顶背驰非底背驰；区间价格对齐否），继续观望,46.16,46.10,46.58,0.2150,0.1184,否
2026-05-11 15:12:43,观望,买入,否,安全,hk06862,海底捞,15.16,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,14.22,14.16,15.21,0.1000,0.0837,否
2026-05-12 11:41:55,观望,观望,是,安全,603317,天味食品,16.08,安全,无信号,向下,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,12.56,12.98,17.28,0.0148,-0.0429,否
2026-05-12 11:41:55,观望,买入,是,安全,600660,福耀玻璃,59.31,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,56.89,56.86,60.80,-0.0849,-0.0786,否
2026-05-12 11:41:55,观望,观望,是,安全,600938,中国海油,36.34,安全,无信号,向下,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,34.06,35.29,37.85,-0.0781,-0.0906,否
2026-05-12 11:41:55,观望,观望,是,安全,600895,张江高科,37.52,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,33.37,36.90,38.17,-0.1094,-0.0068,否
2026-05-12 11:41:55,观望,买入,是,安全,000429,粤高速A,12.96,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,12.71,12.58,13.12,0.0862,0.0836,否
2026-05-12 11:41:55,观望,观望,是,安全,hk01810,小米集团,31.50,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,32.78,30.26,31.92,0.0196,0.0530,否
2026-05-12 11:41:55,观望,观望,是,安全,513130,恒生科技ETF,0.64,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,0.61,0.61,0.64,0.0008,0.0010,否
2026-05-12 11:41:55,观望,买入,是,安全,515790,光伏ETF,1.12,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,1.08,1.10,1.15,0.0048,0.0053,否
2026-05-12 11:41:55,观望,观望,否,安全,sh000001,上证指数,4208.01,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,4101.83,4079.77,4180.21,7.5292,9.8573,否
2026-05-12 11:41:55,观望,观望,否,安全,510300,沪深300ETF,4.95,安全,无信号,向上,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,4.68,4.75,4.91,0.0138,0.0164,否
2026-05-12 11:41:55,观望,买入,否,安全,588000,科创50ETF,1.80,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,1.55,1.55,1.77,0.0136,0.0145,否
2026-05-12 11:41:55,观望,观望,否,安全,512400,有色金属ETF,2.19,安全,二买,向上,底背驰,否,4条件未全部满足（买点但笔方向向上；区间价格对齐否），继续观望,2.10,2.17,2.23,0.0004,0.0016,否
2026-05-12 11:41:55,观望,卖出,否,安全,512690,酒ETF,0.47,日线破位,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,0.48,0.48,0.48,-0.0017,-0.0012,否
2026-05-12 11:41:55,观望,观望,否,安全,159227,航空航天ETF,1.35,日线破位,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,1.43,1.41,1.37,-0.0025,0.0021,否
2026-05-12 11:41:55,观望,观望,否,安全,159992,创新药ETF,0.83,安全,无信号,向上,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,0.81,0.83,0.84,0.0016,0.0024,否
2026-05-12 11:41:55,观望,观望,否,安全,515050,通信ETF,3.30,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,2.30,2.33,3.01,0.0338,0.0387,否
2026-05-12 11:41:55,观望,观望,否,安全,159915,创业板ETF,3.92,安全,二买,向上,顶背驰,否,4条件未全部满足（买点但笔方向向上；15分顶背驰非底背驰；区间价格对齐否），继续观望,3.25,3.27,3.82,0.0239,0.0278,否
